Price,AAPL,MSFT,JPM,KO,MCD,XOM,CAT,JNJ,WMT,DIS,^GSPC
Ticker,AAPL,MSFT,JPM,KO,MCD,XOM,CAT,JNJ,WMT,DIS,^GSPC
Date,,,,,,,,,,,
2023-12-31,190.913666,371.209137,162.688904,55.934902,284.593689,94.075005,286.673584,148.353470,51.349380,88.809486,4769.830078
2024-01-31,182.851929,392.472443,166.763306,56.466442,280.956024,96.737854,291.172394,150.397903,54.024742,94.782936,4845.649902
2024-02-29,179.232544,408.326111,179.050873,56.969509,280.533661,98.346848,325.298676,152.745193,57.483639,110.108070,5096.270020
2024-03-31,170.257355,416.083160,192.754440,58.070549,272.158569,110.391129,356.926544,150.862701,59.013653,120.745857,5254.350098
2024-04-30,169.115570,385.039093,184.516861,59.099537,263.557983,112.318993,325.892853,137.892654,58.407665,109.634399,5035.689941
2024-05-31,190.879257,410.554810,196.134094,60.209389,249.899353,111.359825,330.942383,139.876312,64.715897,102.539253,5277.509766
2024-06-30,209.401932,442.821350,195.775955,60.898251,245.989990,110.215508,325.643677,140.516693,66.865570,97.980194,5460.479980
2024-07-31,220.795654,414.485565,205.978058,64.350128,257.846497,113.537659,338.450500,151.755325,67.783974,92.454071,5522.299805
2024-08-31,227.675629,413.286743,218.799057,69.874962,280.444580,112.915367,349.546661,159.456055,76.266853,89.599197,5648.399902
2024-09-30,231.920624,427.093567,205.231201,69.286797,295.843475,113.129562,383.922150,156.985336,79.970253,95.359009,5762.479980
2024-10-31,224.863495,403.322052,215.995956,63.403049,285.447723,112.704903,369.276794,154.854233,81.158653,95.368919,5705.450195
2024-11-30,236.230560,420.304565,244.543274,62.208965,289.258850,113.843727,400.068512,150.156097,91.606789,116.455170,6032.379883
2024-12-31,249.534164,419.196564,234.740784,60.900536,283.278442,104.669365,357.363434,141.215515,89.477554,110.388031,5881.629883
2025-01-31,235.165192,412.791748,261.758820,62.093891,283.812622,103.949326,365.914307,148.568253,97.427521,112.579910,6040.529785
2025-02-28,240.984512,394.820496,260.502258,69.655113,303.110291,108.327972,340.075439,161.135284,97.874161,113.316772,5954.500000
2025-03-31,221.587616,374.087158,241.455536,70.056160,307.081879,116.758148,326.084808,163.232208,87.134903,98.280891,5611.850098
2025-04-30,211.981125,393.888184,240.786179,71.489548,316.052979,103.701027,305.786072,153.852066,96.789368,90.563797,5569.060059
2025-05-31,200.359573,458.762238,261.463074,71.046120,310.318268,100.431847,345.766327,152.769379,98.252411,112.559998,5911.689941
2025-06-30,204.937408,496.593658,287.124084,69.715851,288.882202,106.806129,385.684967,151.636978,97.552155,123.483421,6204.950195
2025-07-31,207.334702,532.624390,293.393250,67.373299,298.376038,110.610725,435.170990,163.539612,97.751694,119.110001,6339.390137
2025-08-31,231.876846,505.858429,299.961670,68.464928,311.770020,113.236298,417.839539,175.879028,96.754021,118.379997,6460.259766
2025-09-30,254.630005,517.950012,313.903870,65.815254,302.174500,112.750000,475.783051,185.419998,103.059998,114.500000,6688.459961
2025-10-31,269.000000,542.070007,305.359985,70.160004,306.399994,115.029999,524.469971,186.929993,103.169998,111.650002,6890.890137
